idRegistration, startTime, idValueType, value
40798, 2026-09-03T19:00:00Z, 8, 8.4
40799, 2026-09-03T19:00:00Z, 8, 77.8
40805, 2026-09-03T19:00:00Z, 8, 15.5
40815, 2026-09-03T19:00:00Z, 8, 108.9
40817, 2026-09-03T19:00:00Z, 8, 1.3
40819, 2026-09-03T19:00:00Z, 8, 4.0
40820, 2026-09-03T19:00:00Z, 8, 87.2
40821, 2026-09-03T19:00:00Z, 8, 4.0
40822, 2026-09-03T19:00:00Z, 8, 13.0
40835, 2026-09-03T19:00:00Z, 8, 1.6
40837, 2026-09-03T19:00:00Z, 8, 2.37
40838, 2026-09-03T19:00:00Z, 8, 142.0
40839, 2026-09-03T19:00:00Z, 8, 79.2
40840, 2026-09-03T19:00:00Z, 8, 2.47
40841, 2026-09-03T19:00:00Z, 8, 2.4
40845, 2026-09-03T19:00:00Z, 8, 78.0
40848, 2026-09-03T19:00:00Z, 8, 3.7
40851, 2026-09-03T19:00:00Z, 8, 13.0
40852, 2026-09-03T19:00:00Z, 8, 358.0
40853, 2026-09-03T19:00:00Z, 8, 14.5
40854, 2026-09-03T19:00:00Z, 8, 2.7
40878, 2026-09-03T19:00:00Z, 8, 62.0
40880, 2026-09-03T19:00:00Z, 8, 14.9
40885, 2026-09-03T19:00:00Z, 8, 11.8
40902, 2026-09-03T19:00:00Z, 8, 1.0
40904, 2026-09-03T19:00:00Z, 8, 65.8
40905, 2026-09-03T19:00:00Z, 8, 2.5
40918, 2026-09-03T19:00:00Z, 8, 86.4
40920, 2026-09-03T19:00:00Z, 8, 7.8
40992, 2026-09-03T19:00:00Z, 8, 3.7
40994, 2026-09-03T19:00:00Z, 8, 50.7
40996, 2026-09-03T19:00:00Z, 8, 57.0
40997, 2026-09-03T19:00:00Z, 8, 7.7
41007, 2026-09-03T19:00:00Z, 8, 1.0
41008, 2026-09-03T19:00:00Z, 8, 1.3
41010, 2026-09-03T19:00:00Z, 8, 5.0
41012, 2026-09-03T19:00:00Z, 8, 5.5
41028, 2026-09-03T19:00:00Z, 8, 5.4
41029, 2026-09-03T19:00:00Z, 8, 6.1
41030, 2026-09-03T19:00:00Z, 8, 4.8
41037, 2026-09-03T19:00:00Z, 8, 77.8
41043, 2026-09-03T19:00:00Z, 8, 69.0
41045, 2026-09-03T19:00:00Z, 8, 3.8
41050, 2026-09-03T19:00:00Z, 8, 1.0
41056, 2026-09-03T19:00:00Z, 8, 3.5
41058, 2026-09-03T19:00:00Z, 8, 3.3
41059, 2026-09-03T19:00:00Z, 8, 4.2
41060, 2026-09-03T19:00:00Z, 8, 1.0
41090, 2026-09-03T19:00:00Z, 8, 2.9
41093, 2026-09-03T19:00:00Z, 8, 72.6
41095, 2026-09-03T19:00:00Z, 8, 5.8
41101, 2026-09-03T19:00:00Z, 8, 5.5
41139, 2026-09-03T19:00:00Z, 8, 2.7
41140, 2026-09-03T19:00:00Z, 8, 2.7
41141, 2026-09-03T19:00:00Z, 8, 7.8
41144, 2026-09-03T19:00:00Z, 8, 22.4
41145, 2026-09-03T19:00:00Z, 8, 20.9
41146, 2026-09-03T19:00:00Z, 8, 13.8
41151, 2026-09-03T19:00:00Z, 8, 10.0
41156, 2026-09-03T19:00:00Z, 6, -5000.0
41157, 2026-09-03T19:00:00Z, 6, -5000.0
41158, 2026-09-03T19:00:00Z, 8, 329.0
41171, 2026-09-03T19:00:00Z, 8, 68.8
41172, 2026-09-03T19:00:00Z, 8, 456.641
41179, 2026-09-03T19:00:00Z, 8, 5.7
41180, 2026-09-03T19:00:00Z, 8, 7.0
41181, 2026-09-03T19:00:00Z, 8, 3.6
41182, 2026-09-03T19:00:00Z, 8, 4.2
41224, 2026-09-03T19:00:00Z, 8, 1.3
41226, 2026-09-03T19:00:00Z, 8, 15.5
41227, 2026-09-03T19:00:00Z, 8, 15.1
41228, 2026-09-03T19:00:00Z, 8, 18.6
41229, 2026-09-03T19:00:00Z, 8, 22.0
41236, 2026-09-03T19:00:00Z, 8, 4.9
